"filename", "language", "TypeScript", "XML", "TypeScript JSX", "JavaScript JSX", "JSON", "Ruby", "JavaScript", "Markdown", "Properties", "Groovy", "Batch", "Swift", "Objective-C", "JSON with Comments", "Environment Variables", "C++", "Makefile", "comment", "blank", "total"
"/Users/birajtech/Desktop/HelloDoc/src/frontend/assets/svg/call.svg", "XML", 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4
"/Users/birajtech/Desktop/HelloDoc/src/frontend/assets/svg/camera.svg", "XML", 0, 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 3, 17
"/Users/birajtech/Desktop/HelloDoc/src/frontend/assets/svg/chart-bar.svg", "XML", 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4
"/Users/birajtech/Desktop/HelloDoc/src/frontend/assets/svg/chart-line.svg", "XML", 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4
"/Users/birajtech/Desktop/HelloDoc/src/frontend/assets/svg/chat.svg", "XML", 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4
"/Users/birajtech/Desktop/HelloDoc/src/frontend/assets/svg/clip.svg", "XML", 0, 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 14
"/Users/birajtech/Desktop/HelloDoc/src/frontend/assets/svg/clipboard-text.svg", "XML", 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4
"/Users/birajtech/Desktop/HelloDoc/src/frontend/assets/svg/clock.svg", "XML", 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4
"/Users/birajtech/Desktop/HelloDoc/src/frontend/assets/svg/cross.svg", "XML", 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4
"/Users/birajtech/Desktop/HelloDoc/src/frontend/assets/svg/doctor.svg", "XML", 0, 98, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 100
"/Users/birajtech/Desktop/HelloDoc/src/frontend/assets/svg/dots.svg", "XML", 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6
"/Users/birajtech/Desktop/HelloDoc/src/frontend/assets/svg/eye-off.svg", "XML", 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4
"/Users/birajtech/Desktop/HelloDoc/src/frontend/assets/svg/eye-on.svg", "XML", 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4
"/Users/birajtech/Desktop/HelloDoc/src/frontend/assets/svg/google.svg", "XML", 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2
"/Users/birajtech/Desktop/HelloDoc/src/frontend/assets/svg/hospital.svg", "XML", 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4
"/Users/birajtech/Desktop/HelloDoc/src/frontend/assets/svg/house.svg", "XML", 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4
"/Users/birajtech/Desktop/HelloDoc/src/frontend/assets/svg/left-arrow.svg", "XML", 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4
"/Users/birajtech/Desktop/HelloDoc/src/frontend/assets/svg/microphone.svg", "XML", 0, 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 15
"/Users/birajtech/Desktop/HelloDoc/src/frontend/assets/svg/mobile-alt.svg", "XML", 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5
"/Users/birajtech/Desktop/HelloDoc/src/frontend/assets/svg/robot.svg", "XML", 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4
"/Users/birajtech/Desktop/HelloDoc/src/frontend/assets/svg/rocket.svg", "XML", 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4
"/Users/birajtech/Desktop/HelloDoc/src/frontend/assets/svg/search.svg", "XML", 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4
"/Users/birajtech/Desktop/HelloDoc/src/frontend/assets/svg/setting.svg", "XML", 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5
"/Users/birajtech/Desktop/HelloDoc/src/frontend/assets/svg/sticker.svg", "XML", 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6
"/Users/birajtech/Desktop/HelloDoc/src/frontend/assets/svg/trophy.svg", "XML", 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4
"/Users/birajtech/Desktop/HelloDoc/src/frontend/assets/svg/user.svg", "XML", 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 9
